O_Code,O_Name,D_Name,D_Code,Commuters
E02001509,Barnsley 001,Barnsley 001,E02001509,206
E02001510,Barnsley 002,Barnsley 001,E02001509,101
E02001511,Barnsley 003,Barnsley 001,E02001509,15
E02001512,Barnsley 004,Barnsley 001,E02001509,11
E02001513,Barnsley 005,Barnsley 001,E02001509,12
E02001514,Barnsley 006,Barnsley 001,E02001509,7
E02001515,Barnsley 007,Barnsley 001,E02001509,25
E02001516,Barnsley 008,Barnsley 001,E02001509,11
E02001517,Barnsley 009,Barnsley 001,E02001509,29
E02001518,Barnsley 010,Barnsley 001,E02001509,24
E02001519,Barnsley 011,Barnsley 001,E02001509,7
E02001520,Barnsley 012,Barnsley 001,E02001509,28
E02001521,Barnsley 013,Barnsley 001,E02001509,30
E02001523,Barnsley 015,Barnsley 001,E02001509,8
E02001524,Barnsley 016,Barnsley 001,E02001509,10
E02001525,Barnsley 017,Barnsley 001,E02001509,11
E02001526,Barnsley 018,Barnsley 001,E02001509,10
E02001527,Barnsley 019,Barnsley 001,E02001509,8
E02001528,Barnsley 020,Barnsley 001,E02001509,6
E02001529,Barnsley 021,Barnsley 001,E02001509,11
E02001530,Barnsley 022,Barnsley 001,E02001509,1
E02001531,Barnsley 023,Barnsley 001,E02001509,6
E02001532,Barnsley 024,Barnsley 001,E02001509,10
E02001533,Barnsley 025,Barnsley 001,E02001509,2
E02001534,Barnsley 026,Barnsley 001,E02001509,6
E02001535,Barnsley 027,Barnsley 001,E02001509,4
E02001536,Barnsley 028,Barnsley 001,E02001509,5
E02001537,Barnsley 029,Barnsley 001,E02001509,5
E02001538,Barnsley 030,Barnsley 001,E02001509,4
E02001541,Doncaster 003,Barnsley 001,E02001509,1
E02001558,Doncaster 020,Barnsley 001,E02001509,1
E02001559,Doncaster 021,Barnsley 001,E02001509,1
E02001566,Doncaster 028,Barnsley 001,E02001509,1
E02001573,Doncaster 035,Barnsley 001,E02001509,1
E02001578,Rotherham 001,Barnsley 001,E02001509,4
E02001584,Rotherham 007,Barnsley 001,E02001509,1
E02001591,Rotherham 014,Barnsley 001,E02001509,1
E02001592,Rotherham 015,Barnsley 001,E02001509,3
E02001595,Rotherham 018,Barnsley 001,E02001509,1
E02001606,Rotherham 029,Barnsley 001,E02001509,1
E02001610,Rotherham 033,Barnsley 001,E02001509,1
E02001611,Sheffield 001,Barnsley 001,E02001509,1
E02001613,Sheffield 003,Barnsley 001,E02001509,1
E02001616,Sheffield 006,Barnsley 001,E02001509,3
E02001618,Sheffield 008,Barnsley 001,E02001509,1
E02001629,Sheffield 019,Barnsley 001,E02001509,1
E02001634,Sheffield 024,Barnsley 001,E02001509,2
E02001648,Sheffield 038,Barnsley 001,E02001509,2
E02001652,Sheffield 042,Barnsley 001,E02001509,1
E02001656,Sheffield 046,Barnsley 001,E02001509,1
E02001662,Sheffield 052,Barnsley 001,E02001509,1
E02001665,Sheffield 055,Barnsley 001,E02001509,1
E02001671,Sheffield 061,Barnsley 001,E02001509,1
E02001680,Sheffield 070,Barnsley 001,E02001509,1
E02006803,Sheffield 072,Barnsley 001,E02001509,2
E02006844,Sheffield 074,Barnsley 001,E02001509,1
E02001509,Barnsley 001,Barnsley 002,E02001510,172
E02001510,Barnsley 002,Barnsley 002,E02001510,278
E02001511,Barnsley 003,Barnsley 002,E02001510,111
E02001512,Barnsley 004,Barnsley 002,E02001510,84
E02001513,Barnsley 005,Barnsley 002,E02001510,78
E02001514,Barnsley 006,Barnsley 002,E02001510,95
E02001515,Barnsley 007,Barnsley 002,E02001510,237
E02001516,Barnsley 008,Barnsley 002,E02001510,126
E02001517,Barnsley 009,Barnsley 002,E02001510,186
E02001518,Barnsley 010,Barnsley 002,E02001510,143
E02001519,Barnsley 011,Barnsley 002,E02001510,123
E02001520,Barnsley 012,Barnsley 002,E02001510,94
E02001521,Barnsley 013,Barnsley 002,E02001510,138
E02001522,Barnsley 014,Barnsley 002,E02001510,16
E02001523,Barnsley 015,Barnsley 002,E02001510,89
E02001524,Barnsley 016,Barnsley 002,E02001510,22
E02001525,Barnsley 017,Barnsley 002,E02001510,68
E02001526,Barnsley 018,Barnsley 002,E02001510,59
E02001527,Barnsley 019,Barnsley 002,E02001510,57
E02001528,Barnsley 020,Barnsley 002,E02001510,69
E02001529,Barnsley 021,Barnsley 002,E02001510,72
E02001530,Barnsley 022,Barnsley 002,E02001510,17
E02001531,Barnsley 023,Barnsley 002,E02001510,41
E02001532,Barnsley 024,Barnsley 002,E02001510,29
E02001533,Barnsley 025,Barnsley 002,E02001510,17
E02001534,Barnsley 026,Barnsley 002,E02001510,48
E02001535,Barnsley 027,Barnsley 002,E02001510,12
E02001536,Barnsley 028,Barnsley 002,E02001510,39
E02001537,Barnsley 029,Barnsley 002,E02001510,26
E02001538,Barnsley 030,Barnsley 002,E02001510,28
E02001542,Doncaster 004,Barnsley 002,E02001510,2
E02001543,Doncaster 005,Barnsley 002,E02001510,3
E02001547,Doncaster 009,Barnsley 002,E02001510,2
E02001551,Doncaster 013,Barnsley 002,E02001510,1
E02001552,Doncaster 014,Barnsley 002,E02001510,2
E02001553,Doncaster 015,Barnsley 002,E02001510,2
E02001554,Doncaster 016,Barnsley 002,E02001510,1
E02001558,Doncaster 020,Barnsley 002,E02001510,2
E02001559,Doncaster 021,Barnsley 002,E02001510,2
E02001560,Doncaster 022,Barnsley 002,E02001510,4
E02001562,Doncaster 024,Barnsley 002,E02001510,1
E02001564,Doncaster 026,Barnsley 002,E02001510,1
E02001565,Doncaster 027,Barnsley 002,E02001510,5
E02001566,Doncaster 028,Barnsley 002,E02001510,3
E02001568,Doncaster 030,Barnsley 002,E02001510,1
E02001569,Doncaster 031,Barnsley 002,E02001510,2
E02001570,Doncaster 032,Barnsley 002,E02001510,3
E02001571,Doncaster 033,Barnsley 002,E02001510,1
E02001572,Doncaster 034,Barnsley 002,E02001510,2
E02001573,Doncaster 035,Barnsley 002,E02001510,5
E02001575,Doncaster 037,Barnsley 002,E02001510,1
E02001576,Doncaster 038,Barnsley 002,E02001510,1
E02001578,Rotherham 001,Barnsley 002,E02001510,10
E02001579,Rotherham 002,Barnsley 002,E02001510,9
E02001580,Rotherham 003,Barnsley 002,E02001510,6
E02001581,Rotherham 004,Barnsley 002,E02001510,2
E02001582,Rotherham 005,Barnsley 002,E02001510,1
E02001584,Rotherham 007,Barnsley 002,E02001510,1
E02001585,Rotherham 008,Barnsley 002,E02001510,1
E02001586,Rotherham 009,Barnsley 002,E02001510,3
E02001587,Rotherham 010,Barnsley 002,E02001510,2
E02001588,Rotherham 011,Barnsley 002,E02001510,2
E02001591,Rotherham 014,Barnsley 002,E02001510,1
E02001592,Rotherham 015,Barnsley 002,E02001510,2
E02001593,Rotherham 016,Barnsley 002,E02001510,1
E02001595,Rotherham 018,Barnsley 002,E02001510,1
E02001596,Rotherham 019,Barnsley 002,E02001510,1
E02001597,Rotherham 020,Barnsley 002,E02001510,1
E02001598,Rotherham 021,Barnsley 002,E02001510,1
E02001599,Rotherham 022,Barnsley 002,E02001510,2
E02001600,Rotherham 023,Barnsley 002,E02001510,1
E02001602,Rotherham 025,Barnsley 002,E02001510,1
E02001605,Rotherham 028,Barnsley 002,E02001510,1
E02001607,Rotherham 030,Barnsley 002,E02001510,1
E02001610,Rotherham 033,Barnsley 002,E02001510,1
E02001611,Sheffield 001,Barnsley 002,E02001510,2
E02001612,Sheffield 002,Barnsley 002,E02001510,1
E02001613,Sheffield 003,Barnsley 002,E02001510,9
